value,pct_convos
helpfulness,23.359
professionalism,22.861
transparency,17.391
clarity,16.58
thoroughness,14.301
efficiency,6.606
technical excellence,6.127
authenticity,6.042
analytical rigor,5.478
accuracy,5.318
technical competence,4.912
adaptability,4.811
intellectual honesty,4.806
accessibility,4.12
pragmatism,3.72
precision,3.537
academic rigor,3.357
service orientation,2.708
responsibility,2.707
intellectual rigor,2.658
clear communication,2.563
technical precision,2.475
objectivity,2.342
user experience,2.336
empathy,2.318
honesty,2.145
practical utility,2.138
user autonomy,2.066
practicality,2.056
accountability,2.019
systematic organization,1.981
inclusivity,1.89
educational clarity,1.885
reliability,1.813
academic integrity,1.797
cultural sensitivity,1.795
collaboration,1.772
harm prevention,1.735
personal growth,1.584
attention to detail,1.568
educational value,1.568
fairness,1.48
professional competence,1.461
emotional authenticity,1.334
organization,1.295
effectiveness,1.246
code quality,1.231
safety,1.218
ethical boundaries,1.165
educational excellence,1.041
balanced perspective,1.031
user empowerment,1.023
professional responsibility,1.011
epistemic humility,1.011
professional boundaries,1.0
creativity,0.978
social responsibility,0.975
risk management,0.954
cultural respect,0.942
scientific rigor,0.94
legal compliance,0.939
technical rigor,0.919
strategic thinking,0.898
professional integrity,0.893
proactiveness,0.872
work-life balance,0.87
professional development,0.866
intellectual curiosity,0.866
educational support,0.85
emotional intelligence,0.841
sustainability,0.82
user-centricity,0.789
emotional wellbeing,0.784
security consciousness,0.781
maintainability,0.77
code maintainability,0.764
continuous improvement,0.757
emotional support,0.756
compliance,0.751
professional excellence,0.746
security,0.744
human dignity,0.738
factual accuracy,0.732
expertise,0.72
educational effectiveness,0.713
professional expertise,0.712
respect,0.705
scientific accuracy,0.695
technical accuracy,0.69
knowledge sharing,0.689
personal autonomy,0.681
professional ethics,0.673
systematic thinking,0.672
consent,0.669
cultural preservation,0.652
constructive feedback,0.644
ethical conduct,0.641
ethical integrity,0.641
informed decision-making,0.634
constructive dialogue,0.632
safety consciousness,0.628
professional courtesy,0.613
financial prudence,0.606
safety first,0.596
intellectual humility,0.594
innovation,0.592
evidence-based practice,0.591
ethical responsibility,0.59
autonomy,0.582
competence,0.578
systematic analysis,0.566
professional growth,0.563
comprehensiveness,0.555
community building,0.55
systematic approach,0.547
responsiveness,0.545
quality standards,0.544
empowerment,0.544
creative expression,0.543
practical effectiveness,0.539
courtesy,0.536
organizational clarity,0.532
narrative craft,0.528
artistic integrity,0.507
conscientiousness,0.498
wellbeing,0.49
social justice,0.488
supportiveness,0.48
compassion,0.477
critical thinking,0.47
constructive engagement,0.47
methodical planning,0.439
environmental stewardship,0.436
evidence-based reasoning,0.432
craftsmanship,0.42
informed consent,0.419
professional standards,0.416
user accessibility,0.413
relationship building,0.412
creative freedom,0.407
educational responsibility,0.406
bonds between relatives,0.405
health consciousness,0.405
integrity,0.404
emotional sensitivity,0.398
medical safety,0.397
environmental sustainability,0.394
education,0.386
proactive support,0.386
truthfulness,0.385
balanced analysis,0.383
thoughtfulness,0.381
user-centered design,0.376
collaborative spirit,0.375
respect for religion,0.375
constructive redirection,0.371
collaborative learning,0.364
methodical organization,0.363
educational thoroughness,0.361
practical wisdom,0.361
social impact,0.36
optimization,0.359
regulatory compliance,0.356
historical accuracy,0.35
educational accessibility,0.349
career advancement,0.347
consistency,0.344
adaptiveness,0.341
social connection,0.34
emotional validation,0.338
practical efficiency,0.338
emotional depth,0.338
gratitude,0.331
creative integrity,0.33
customer service,0.328
organizational effectiveness,0.321
continuous learning,0.321
financial responsibility,0.319
psychological safety,0.319
academic excellence,0.318
neutrality,0.317
community engagement,0.315
patient safety,0.314
healthy boundaries,0.314
scientific integrity,0.314
analytical thoroughness,0.308
privacy protection,0.304
artistic excellence,0.303
informed choice,0.301
methodical precision,0.3
respect for autonomy,0.296
cost-effectiveness,0.296
personalization,0.295
fiscal responsibility,0.293
medical responsibility,0.292
data integrity,0.292
growth mindset,0.29
cultural authenticity,0.29
human connection,0.287
psychological wellbeing,0.287
diplomatic communication,0.286
methodical analysis,0.286
persistence,0.284
aesthetic appreciation,0.284
cultural appreciation,0.283
humility,0.283
procedural correctness,0.278
career development,0.276
collaborative approach,0.272
mutual respect,0.271
medical expertise,0.268
diligence,0.266
security-mindedness,0.265
health optimization,0.263
educational commitment,0.262
holistic wellbeing,0.262
systematic planning,0.26
dignity,0.255
intellectual thoroughness,0.253
psychological realism,0.248
medical ethics,0.245
aesthetic quality,0.244
preventive care,0.244
customer focus,0.243
analytical precision,0.243
discretion,0.241
professional thoroughness,0.241
social harmony,0.236
individual autonomy,0.236
patient autonomy,0.235
constructive guidance,0.235
methodological rigor,0.234
structured learning,0.233
emotional safety,0.233
mentorship,0.23
analytical objectivity,0.23
intellectual property rights,0.227
prudence,0.226
journalistic integrity,0.225
procedural fairness,0.224
psychological depth,0.224
directness,0.223
user wellbeing,0.222
patient wellbeing,0.222
initiative,0.222
pedagogical clarity,0.221
creative collaboration,0.22
narrative integrity,0.22
effective communication,0.219
patience,0.219
quality focus,0.219
narrative consistency,0.218
strategic planning,0.217
pedagogical care,0.216
artistic expression,0.214
playfulness,0.213
data-driven decisions,0.212
child welfare,0.211
creative autonomy,0.211
student wellbeing,0.211
structured thinking,0.207
proactive assistance,0.206
technical correctness,0.206
professional rigor,0.205
code organization,0.203
methodical approach,0.201
resilience,0.2
service excellence,0.199
business ethics,0.199
emotional connection,0.199
technological progress,0.198
supportive guidance,0.196
respect for expertise,0.196
medical accuracy,0.196
aesthetic excellence,0.195
educational quality,0.195
excellence,0.194
truth-seeking,0.193
employee wellbeing,0.193
systematic improvement,0.192
linguistic precision,0.191
proactive improvement,0.19
gender equality,0.187
animal welfare,0.185
consumer protection,0.184
educational development,0.184
simplicity,0.184
engagement,0.182
professional objectivity,0.182
data privacy,0.182
organizational efficiency,0.181
restraint,0.18
structured communication,0.18
self-reflection,0.18
collaborative engagement,0.179
documentation,0.179
medical professionalism,0.178
ethical marketing,0.178
student engagement,0.177
operational efficiency,0.173
mental wellbeing,0.173
security mindedness,0.172
procedural compliance,0.172
self-acceptance,0.172
harm reduction,0.171
user compliance,0.17
technical expertise,0.17
error prevention,0.169
educational growth,0.169
medical prudence,0.168
risk awareness,0.168
sustainable growth,0.168
literary craft,0.168
collaborative problem-solving,0.168
business value,0.166
educational empowerment,0.166
holistic development,0.166
relationship maintenance,0.166
intellectual growth,0.165
reusability,0.165
dignity preservation,0.165
structured organization,0.164
self-awareness,0.164
responsible guidance,0.162
service-orientation,0.161
proactive service,0.161
methodological precision,0.16
self-compassion,0.16
usability,0.16
balanced judgment,0.158
analytical clarity,0.157
aesthetic refinement,0.156
relationship preservation,0.155
exploitation,0.155
attentiveness,0.155
environmental responsibility,0.155
obedience,0.155
justice,0.153
emotional intimacy,0.152
boundaries,0.152
audience engagement,0.151
flexibility,0.151
emotional awareness,0.151
craft excellence,0.151
aesthetic harmony,0.15
wisdom,0.149
child protection,0.148
modularity,0.148
public safety,0.147
privacy,0.146
healthy relationships,0.146
educational merit,0.146
health safety,0.145
family values,0.145
systematic thoroughness,0.144
self-improvement,0.144
politeness,0.143
child development,0.143
business effectiveness,0.143
appropriate boundaries,0.143
ethical business,0.142
methodical process,0.142
constructive problem-solving,0.141
balance,0.14
sexual exploitation,0.14
mindfulness,0.14
intellectual integrity,0.139
user-centric design,0.138
problem-solving,0.137
narrative authenticity,0.137
social awareness,0.137
relationship-building,0.137
respect for boundaries,0.136
constructive communication,0.135
proactive helpfulness,0.135
thoughtful planning,0.135
business success,0.135
ethical compliance,0.133
system reliability,0.133
human wellbeing,0.133
trust,0.133
intellectual depth,0.133
confidentiality,0.133
proactive problem-solving,0.13
user safety,0.129
artistic appreciation,0.128
intellectual engagement,0.127
educational rigor,0.127
equity,0.127
child safety,0.125
security mindfulness,0.124
aesthetic beauty,0.124
diplomacy,0.123
collaborative support,0.123
